time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1715694056793144300,0.049144287109375,-0.039975445717573166,-0.04461777210235596,-0.07203911244869232,-0.09511179476976395,-0.4990931749343872,-0.8613128662109375,-0.0009270310401916504,0.010232031345367432,0.015411376953125,0.9647054607865475,0.258676447679808,-0.049295770626108765,5.551115123125783e-17
1715694056803134200,0.05913427734375,-0.0375676304101944,-0.048807721585035324,-0.07418395578861237,-0.0951591432094574,-0.4988299012184143,-0.8614600896835327,0.0026145875453948975,0.0034838318824768066,0.010691046714782715,0.9647434909968113,0.25850795510093083,-0.04943266566527109,-0.0004265710171626469
1715694056813123300,0.069123291015625,-0.03041703999042511,-0.053758274763822556,-0.07196979969739914,-0.09521626681089401,-0.49862608313560486,-0.8615717887878418,0.005067348480224609,0.005568832159042358,0.007674694061279297,0.9647721213620702,0.25837274782670716,-0.0495746070689593,-0.0008517369690992371
1715694056823112200,0.0791123046875,-0.03107212297618389,-0.06713799387216568,-0.07190369069576263,-0.09545228630304337,-0.49859365820884705,-0.8615643978118896,0.007287010550498962,0.011212646961212158,0.0063550472259521484,0.96476977048862,0.25833449532913166,-0.04981040722330733,-0.0012752108959215303
1715694056833102300,0.089102294921875,-0.023045090958476067,-0.0521145723760128,-0.09131014347076416,-0.09551826119422913,-0.49860748648643494,-0.8615490794181824,0.005903393030166626,0.009776890277862549,0.004890143871307373,0.9647649798994857,0.25831720547813164,-0.04997672555705568,-0.0017678471410415564
1715694056843091200,0.09909130859375,-0.023855701088905334,-0.045216452330350876,-0.08099891990423203,-0.09539089351892471,-0.4985955059528351,-0.8615701198577881,0.00043545663356781006,0.011763840913772583,0.006406545639038086,0.9647693628109628,0.25828351806720756,-0.0500455681641635,-0.0022726342604312832
1715694056853080300,0.109080322265625,-0.036385610699653625,-0.04734484851360321,-0.07491439580917358,-0.09533214569091797,-0.49842748045921326,-0.861673891544342,-0.007481567561626434,0.013838857412338257,0.004587709903717041,0.9647951196725959,0.25816642904689197,-0.050131449692790986,-0.002713392936942116
1715694056863070200,0.1190703125,-0.05048784986138344,-0.0585748665034771,-0.09090986847877502,-0.09537815302610397,-0.4981147348880768,-0.8618496060371399,-0.00984644889831543,0.0042639970779418945,0.0036190152168273926,0.9648392202609224,0.25796736426422084,-0.05027955948544342,-0.0031888269624947285
1715694056873063400,0.1290634765625,-0.06354772299528122,-0.06307028234004974,-0.10341420769691467,-0.09543510526418686,-0.49771347641944885,-0.8620750308036804,-0.007134482264518738,-0.0007911324501037598,0.0026085376739501953,0.9649027904738932,0.257908617181637,-0.04945322102290527,0
1715694056883053300,0.13905322265625,-0.05904591456055641,-0.05009908974170685,-0.11055082082748413,-0.09539005160331726,-0.4973311424255371,-0.8623006343841553,-0.009269975125789642,-0.001478642225265503,0.0013540387153625488,0.9649610435508007,0.25766390113914733,-0.04958813916452892,-0.0006038788946394757
1715694056893042400,0.14904248046875,-0.059965502470731735,-0.0309648085385561,-0.1281881332397461,-0.0951153114438057,-0.4969436526298523,-0.8625543713569641,-0.01670107990503311,-0.0007217228412628174,0.0027216672897338867,0.9650261768976431,0.2574129681003926,-0.049612237786196514,-0.0012410138407228932
1715694056903031300,0.15903125,-0.06869672983884811,-0.027822544798254967,-0.15150344371795654,-0.0946350172162056,-0.49648556113243103,-0.8628709316253662,-0.02281186729669571,-0.000935673713684082,0.004182636737823486,0.9651069830402763,0.25711679604255816,-0.0495527960376439,-0.0019689186426646854
1715694056913021400,0.169021484375,-0.08780917525291443,-0.026841701939702034,-0.17985917627811432,-0.09403856843709946,-0.49591970443725586,-0.8632615208625793,-0.027314573526382446,-0.0035614967346191406,0.0032608509063720703,0.9652061108997262,0.2567539055470791,-0.04946397458440119,-0.0028184500295253545
1715694056923010300,0.17901025390625,-0.11917588114738464,-0.01725592091679573,-0.23100805282592773,-0.09324327856302261,-0.49518415331840515,-0.8637698292732239,-0.03361828625202179,-0.012277364730834961,-0.006408393383026123,0.9653341679323207,0.2562870511469095,-0.04931566540894343,-0.0038412291304550927
1715694056932999400,0.18899951171875,-0.16085143387317657,-0.00512921717017889,-0.32891198992729187,-0.09209009259939194,-0.4941632151603699,-0.8644779324531555,-0.04708530753850937,-0.02895382046699524,-0.022637486457824707,0.9655110744621205,0.2556420371359701,-0.04907314945186425,-0.005224578898447407
1715694056942989300,0.1989892578125,-0.21644768118858337,0.05439722537994385,-0.4333009719848633,-0.09013872593641281,-0.492902547121048,-0.8654028177261353,-0.0781656950712204,-0.04770106077194214,-0.050551772117614746,0.9657388114315865,0.2548396600208471,-0.04853174014113304,-0.007061782338707079
1715694056952977200,0.20897705078125,-0.2879231870174408,0.11569254100322723,-0.5317412614822388,-0.08704906702041626,-0.49117961525917053,-0.8666977882385254,-0.12848131358623505,-0.07013019919395447,-0.07109212875366211,0.9660546879473142,0.25376028506131,-0.04750614126621483,-0.009335577504089865
1715694056962966300,0.21896630859375,-0.3828570246696472,0.1636611372232437,-0.6383920907974243,-0.08298671245574951,-0.48879826068878174,-0.8684408068656921,-0.1831112951040268,-0.10280025005340576,-0.07139372825622559,0.9664756646185517,0.2523020734609078,-0.046078715236386666,-0.01205143059173669
1715694056972956200,0.2289560546875,-0.5124986171722412,0.2107602059841156,-0.7820656299591064,-0.07795099914073944,-0.4855038821697235,-0.8707523345947266,-0.23287053406238556,-0.1345980167388916,-0.05841636657714844,0.9670269837228935,0.2503274679091652,-0.04427189762852049,-0.015326403859078352
1715694056982945300,0.2389453125,-0.6734143495559692,0.2884134352207184,-0.9585371613502502,-0.07160142809152603,-0.48098430037498474,-0.87380051612854,-0.27162978053092957,-0.14760151505470276,-0.02521681785583496,0.9677425289240956,0.24766952367527587,-0.04194706966322874,-0.01935341054503137
1715694056992934100,0.24893408203125,-0.8311871886253357,0.36388131976127625,-1.0820122957229614,-0.06385035067796707,-0.47510918974876404,-0.8776071667671204,-0.3059311509132385,-0.14163577556610107,0.023145556449890137,0.9686200521857818,0.24428119873087645,-0.039026900225419395,-0.024058597741752563
1715694057002924300,0.25892431640625,-0.9514017701148987,0.4128592312335968,-1.153381109237671,-0.055184975266456604,-0.4678971469402313,-0.882058322429657,-0.3415130376815796,-0.1415846049785614,0.08002585172653198,0.9696282144762443,0.2402036873913666,-0.035679700304230844,-0.029156743448728817
1715694057012913200,0.2689130859375,-1.0009697675704956,0.4661485552787781,-1.249582290649414,-0.04576018080115318,-0.45984652638435364,-0.8868185877799988,-0.3626565635204315,-0.14730069041252136,0.12372654676437378,0.9706754975368856,0.23572892653684135,-0.03197794440810957,-0.03461652756479522
1715694057022903300,0.2789033203125,-1.0139036178588867,0.4713004529476166,-1.33896803855896,-0.03568480908870697,-0.45142248272895813,-0.8915964961051941,-0.35835814476013184,-0.13095968961715698,0.1596476435661316,0.9716778232436336,0.23112324824573405,-0.027996307095409845,-0.04050213702812311
1715694057032892200,0.28889208984375,-1.0044288635253906,0.4184795618057251,-1.3772022724151611,-0.025635311380028725,-0.44283902645111084,-0.8962345719337463,-0.3401941657066345,-0.10656893253326416,0.18137556314468384,0.9725917341024847,0.22650358660167103,-0.024058948962113372,-0.046718371838133266
1715694057042881300,0.29888134765625,-1.000196099281311,0.33063921332359314,-1.425973653793335,-0.01615011692047119,-0.43417662382125854,-0.9006829857826233,-0.3038114309310913,-0.08967286348342896,0.1945672631263733,0.9734010420956167,0.22190372279278275,-0.02042680214598941,-0.05321412401633341
1715694057052871200,0.30887109375,-0.9769957065582275,0.20552308857440948,-1.4758775234222412,-0.007547308690845966,-0.4254155158996582,-0.9049666523933411,-0.2619076371192932,-0.0884699821472168,0.20255881547927856,0.9741025355297822,0.21729779241383682,-0.017272414262081814,-0.06006249818148768
1715694059220562200,2.476562255859375,-0.8050439953804016,-0.6021047234535217,-0.06606750935316086,-0.08916351199150085,-0.8323357701301575,-0.5470530390739441,0.045645445585250854,-0.47229063510894775,0.3629862070083618,0.7774757366443391,0.44198996426391024,0.17640393987475736,0.4111666620739304
